date,user
2017-10-23,1358
2017-10-24,1316
2017-10-25,1172
2017-10-26,1147
2017-10-27,1465
2017-10-28,2274
2017-10-29,1522
2017-10-30,625
2017-10-31,718
2017-11-01,1025
2017-11-02,899
2017-11-03,829
2017-11-04,977
2017-11-05,1190
2017-11-06,794
2017-11-07,839
2017-11-08,701
2017-11-09,695
2017-11-10,427
2017-11-11,733
2017-11-12,757
2017-11-13,408
2017-11-14,406
2017-11-15,282
2017-11-16,264
2017-11-17,272
2017-11-18,217
2017-11-19,222
2017-11-20,224
2017-11-21,304
2017-11-22,270
2017-11-23,200
2017-11-24,181
2017-11-25,162
2017-11-26,343
2017-11-27,259
2017-11-28,377
2017-11-29,251
2017-11-30,208
2017-12-01,211
2017-12-02,323
2017-12-03,349
2017-12-04,205
2017-12-05,145
2017-12-06,152
2017-12-07,171
2017-12-08,119
2017-12-09,223
2017-12-10,175
2017-12-11,88
2017-12-12,83
2017-12-13,81
2017-12-14,102
2017-12-15,113
2017-12-16,124
2017-12-17,109
2017-12-18,76
2017-12-19,73
2017-12-20,86
2017-12-21,117
2017-12-22,143
2017-12-23,307
2017-12-24,207
2017-12-25,187
2017-12-26,134
2017-12-27,111
2017-12-28,150
2017-12-29,197
2017-12-30,166
2017-12-31,201
2018-01-01,302
2018-01-02,246
2018-01-03,205
2018-01-04,169
2018-01-05,183
2018-01-06,192
2018-01-07,253
2018-01-08,186
2018-01-09,147
2018-01-10,93
2018-01-11,76
2018-01-12,79
2018-01-13,89
2018-01-14,235
2018-01-15,195
2018-01-16,202
2018-01-17,205
2018-01-18,179
2018-01-19,201
2018-01-20,253
2018-01-21,266
2018-01-22,146
2018-01-23,69
2018-01-24,64
2018-01-25,56
2018-01-26,42
2018-01-27,99
2018-01-28,120
2018-01-29,86
2018-01-30,79
2018-01-31,103
2018-02-01,104
2018-02-02,143
2018-02-03,118
2018-02-04,105
2018-02-05,89
2018-02-06,67
2018-02-07,92
2018-02-08,150
2018-02-09,147
2018-02-10,169
2018-02-11,111
2018-02-12,109
2018-02-13,165
2018-02-14,237
2018-02-15,213
2018-02-16,254
2018-02-17,281
2018-02-18,366
2018-02-19,381
2018-02-20,340
2018-02-21,280
2018-02-22,239
2018-02-23,226
2018-02-24,393
2018-02-25,563
2018-02-26,538
2018-02-27,369
2018-02-28,213
2018-03-01,420
2018-03-02,422
2018-03-03,1649
2018-03-04,818
2018-03-05,706
2018-03-06,749
2018-03-07,576
2018-03-08,493
2018-03-09,598
2018-03-10,1026
2018-03-11,1617
2018-03-12,812
2018-03-13,1146
2018-03-14,1793
2018-03-15,538
2018-03-16,1146
2018-03-17,2085
2018-03-18,1233
2018-03-19,533
2018-03-20,563
2018-03-21,546
2018-03-22,803
2018-03-23,889
2018-03-24,1144
2018-03-25,1340
2018-03-26,758
2018-03-27,736
2018-03-28,971
2018-03-29,1086
2018-03-30,1554
2018-03-31,2556
2018-04-01,2324
2018-04-02,2001
2018-04-03,1579
2018-04-04,1996
2018-04-05,464
2018-04-06,611
2018-04-07,949
2018-04-08,747
2018-04-09,1411
2018-04-10,1149
2018-04-11,1158
2018-04-12,1613
2018-04-13,1524
2018-04-14,656
2018-04-15,1516
2018-04-16,1573
2018-04-17,1494
2018-04-18,1616
2018-04-19,1492
2018-04-20,1546
2018-04-21,3244
2018-04-22,951
2018-04-23,304
2018-04-24,959
2018-04-25,1819
2018-04-26,1848
2018-04-27,2156
2018-04-28,3379
2018-04-29,3909
2018-04-30,2058
2018-05-01,2765
2018-05-02,651
2018-05-03,1095
2018-05-04,1685
2018-05-05,3764
2018-05-06,2288
2018-05-07,4565
2018-05-08,1891
2018-05-09,2240
2018-05-10,1917
2018-05-11,1830
2018-05-12,536
2018-05-13,3407
2018-05-15,1659
2018-05-16,634
2018-05-17,312
2018-05-18,866
2018-05-19,4342
2018-05-20,3902
2018-05-21,2984
2018-05-22,1966
2018-05-23,1693
2018-05-24,1732
2018-05-25,1839
2018-05-26,3145
2018-05-27,3521
2018-05-28,2067
2018-05-29,1408
2018-05-30,1853
2018-05-31,1972
2018-06-01,2109
2018-06-02,3513
2018-06-03,3462
2018-06-04,2180
2018-06-05,2184
2018-06-06,4052
2018-06-07,1942
2018-06-08,2111
2018-06-09,2325
2018-06-10,3074
2018-06-11,1229
2018-06-12,1611
2018-06-13,2732
2018-06-14,1147
2018-06-15,2041
2018-06-16,3646
2018-06-17,3505
2018-06-18,1553
2018-06-19,1986
2018-06-20,2067
2018-06-21,2828
2018-06-22,3335
2018-06-23,4526
2018-06-24,4408
2018-06-25,2684
2018-06-26,635
2018-06-27,2000
2018-06-28,1238
2018-06-29,2556
2018-06-30,2094
2018-07-01,689
2018-07-02,530
2018-07-03,2254
2018-07-04,2596
2018-07-05,2250
2018-07-06,3099
2018-07-07,5428
2018-07-08,5706
2018-07-09,895
2018-07-10,1347
2018-07-11,1856
2018-07-12,2372
2018-07-13,2539
2018-07-14,3446
2018-07-15,2937
2018-07-16,2161
2018-07-17,2133
2018-07-18,2123
2018-07-19,2194
2018-07-20,2069
2018-07-21,2270
2018-07-22,1949
2018-07-23,1643
2018-07-24,1524
2018-07-25,1606
2018-07-26,1592
2018-07-27,1352
2018-07-28,1417
2018-07-29,1918
2018-07-30,1696
2018-07-31,1463
2018-08-01,1153
2018-08-02,1173
2018-08-03,1192
2018-08-04,1613
2018-08-05,1636
2018-08-06,1161
2018-08-07,1352
2018-08-08,1394
2018-08-09,1024
2018-08-10,1298
2018-08-11,1991
2018-08-12,1892
2018-08-13,1510
2018-08-14,1581
2018-08-15,1792
2018-08-16,1905
2018-08-17,2799
2018-08-18,4676
2018-08-19,4211
2018-08-20,2341
2018-08-21,2348
