date,dust
2015-08-25,9.157894736842104
2015-08-26,12.18918918918919
2015-08-27,22.7027027027027
2015-08-28,30.054054054054053
2015-08-29,33.027027027027025
2015-08-30,33.972972972972975
2015-08-31,34.0
2015-09-01,25.72222222222222
2015-09-02,27.027027027027028
2015-09-03,25.56756756756757
2015-09-04,34.583333333333336
2015-09-05,32.0
2015-09-06,15.083333333333334
2015-09-07,15.25
2015-09-08,14.972222222222221
2015-09-09,19.054054054054053
2015-09-10,30.2972972972973
2015-09-11,38.833333333333336
2015-09-12,23.166666666666668
2015-09-13,22.555555555555557
2015-09-14,33.0
2015-09-15,28.62162162162162
2015-09-16,18.027027027027028
2015-09-17,15.078947368421053
2015-09-18,21.794871794871796
2015-09-19,34.05128205128205
2015-09-20,48.87179487179487
2015-09-21,49.48717948717949
2015-09-22,42.07692307692308
2015-09-23,43.68421052631579
2015-09-24,39.48717948717949
2015-09-25,38.666666666666664
2015-09-26,49.69230769230769
2015-09-27,34.76923076923077
2015-09-28,32.21052631578947
2015-09-29,24.263157894736842
2015-09-30,19.487179487179485
2015-10-01,16.974358974358974
2015-10-02,32.15384615384615
2015-10-03,43.56410256410256
2015-10-04,29.384615384615383
2015-10-05,30.641025641025642
2015-10-06,33.87179487179487
2015-10-07,47.46153846153846
2015-10-08,54.23076923076923
2015-10-09,34.23076923076923
2015-10-10,23.76923076923077
2015-10-11,17.846153846153847
2015-10-12,20.05128205128205
2015-10-13,33.46153846153846
2015-10-14,50.743589743589745
2015-10-15,62.794871794871796
2015-10-16,72.84615384615384
2015-10-17,61.78947368421053
2015-10-18,78.47368421052632
2015-10-19,101.84615384615384
2015-10-20,100.94871794871794
2015-10-21,120.28205128205128
2015-10-22,83.92307692307692
2015-10-23,53.8974358974359
2015-10-24,36.78947368421053
2015-10-25,31.789473684210527
2015-10-26,33.43589743589744
2015-10-27,36.92307692307692
2015-10-28,33.51282051282051
2015-10-29,25.94871794871795
2015-10-30,30.46153846153846
2015-10-31,34.1025641025641
2015-11-01,42.794871794871796
2015-11-02,54.56410256410256
