date,count
2019-09-20,79508.02171632489
2019-09-21,76383.24259337848
2019-09-22,76327.53237088342
2019-09-23,75842.34610459053
2019-09-24,76238.16469686816
2019-09-25,76431.035036659
2019-09-26,76604.04688107979
2019-09-27,76638.00331655766
2019-09-28,76453.43666571821
2019-09-29,76669.57268011074
2019-09-30,76802.3440509477
2019-10-01,76917.80705276293
2019-10-02,76973.94284965319
2019-10-03,77049.56252517717
2019-10-04,77146.76570563973
2019-10-05,77217.0106990293
2019-10-06,77329.57720068183
2019-10-07,77409.39460470947
2019-10-08,77469.55947210686
2019-10-09,77544.44831808256
2019-10-10,77635.76414987895
2019-10-11,77711.27224455374
2019-10-12,77783.38972210631
2019-10-13,77871.24633985039
2019-10-14,77944.14456579936
2019-10-15,78024.55330393852
2019-10-16,78101.32446411668
2019-10-17,78177.90070435806
2019-10-18,78261.3295551902
2019-10-19,78337.04446963675
2019-10-20,78420.27249218134
2019-10-21,78497.5407721643
2019-10-22,78578.99912907375
2019-10-23,78659.36537217586
2019-10-24,78733.13649862984
2019-10-25,78816.19107601132
2019-10-26,78897.03620984194
2019-10-27,78971.56129140391
2019-10-28,79054.28442536233
2019-10-29,79135.11027386997
2019-10-30,79209.1435635743
2019-10-31,79286.90798326596
2019-11-01,79370.73286363267
2019-11-02,79451.58359820073
2019-11-03,79525.89134782011
2019-11-04,79608.66294437331
2019-11-05,79689.51281447709
2019-11-06,79763.82552488793
2019-11-07,79846.59192964817
2019-11-08,79927.4391554556
2019-11-09,80001.62257402827
2019-11-10,80084.46008391259
2019-11-11,80162.18943067167
2019-11-12,80240.18359358974
2019-11-13,80322.53768352048
2019-11-14,80398.0685376334
2019-11-15,80478.2808178908
2019-11-16,80554.3296326202
2019-11-17,80637.9418868643
2019-11-18,80712.81791388578
2019-11-19,80796.0180791249
2019-11-20,80877.00508108064
2019-11-21,80953.74090779516
2019-11-22,81029.61759836765
2019-11-23,81107.47594434874
2019-11-24,81189.7534988688
2019-11-25,81267.21586779362
2019-11-26,81343.10440435601
2019-11-27,81427.562003818
2019-11-28,81505.82745933665
2019-11-29,81581.63727097237
2019-11-30,81662.19887613264
2019-12-01,81744.72016509876
2019-12-02,81825.0694473002
2019-12-03,81904.78031279868
2019-12-04,81984.45979029892
2019-12-05,82064.13713918049
2019-12-06,82140.28010164462
2019-12-07,82221.95298099055
2019-12-08,82299.90942666522
2019-12-09,82380.99736062804
2019-12-10,82458.00284875563
2019-12-11,82539.52012781173
2019-12-12,82619.87883934489
2019-12-13,82694.2130822958
2019-12-14,82771.84834408063
2019-12-15,82855.5306701665
2019-12-16,82936.33718345221
2019-12-17,83016.0655038419
2019-12-18,83095.7423285294
2019-12-19,83175.41539000199
2019-12-20,83251.65450259861
2019-12-21,83333.26742368295
2019-12-22,83407.46977677105
2019-12-23,83486.89442032909
2019-12-24,83566.86845964167
2019-12-25,83649.1864282455
2019-12-26,83724.40181226665
2019-12-27,83807.02470083626
2019-12-28,83882.8659055441
2019-12-29,83965.37014829609
2019-12-30,84046.08749335702
2019-12-31,84125.80564653478
