date,count
2019-09-20,79533.88955635241
2019-09-21,76491.79781675542
2019-09-22,76574.498374919
2019-09-23,76650.80428817854
2019-09-24,76727.99873513043
2019-09-25,76809.14737731026
2019-09-26,76892.076039258
2019-09-27,76969.18003240813
2019-09-28,77047.73585431142
2019-09-29,77127.57313978343
2019-09-30,77210.21968555414
2019-10-01,77290.99097547904
2019-10-02,77371.09565138516
2019-10-03,77451.19725156267
2019-10-04,77527.91838770264
2019-10-05,77609.94185448065
2019-10-06,77690.78391301028
2019-10-07,77770.89736875435
2019-10-08,77851.00376249483
2019-10-09,77931.11329299684
2019-10-10,78011.2206174684
2019-10-11,78091.3285396009
2019-10-12,78167.6942642714
2019-10-13,78249.92465419763
2019-10-14,78330.84473045854
2019-10-15,78410.95793926575
2019-10-16,78487.3059062551
2019-10-17,78565.8795765982
2019-10-18,78648.05499741458
2019-10-19,78725.14416270459
2019-10-20,78807.86592885181
2019-10-21,78888.90410934095
2019-10-22,78968.99779826798
2019-10-23,79049.1156236175
2019-10-24,79129.22641989212
2019-10-25,79206.37324946882
2019-10-26,79288.15687397752
2019-10-27,79368.90299684876
2019-10-28,79449.01398123175
2019-10-29,79529.12079875487
2019-10-30,79609.22672312589
2019-10-31,79689.33241922106
2019-11-01,79766.48665047306
2019-11-02,79847.1562435602
2019-11-03,79926.52865154207
2019-11-04,80008.01261754044
2019-11-05,80084.9252641834
2019-11-06,80167.08903287967
2019-11-07,80247.9800082389
2019-11-08,80328.08891172874
2019-11-09,80404.91199041046
2019-11-10,80484.66703406956
2019-11-11,80566.73332729463
2019-11-12,80647.10832509272
2019-11-13,80727.33258758928
2019-11-14,80807.48236263986
2019-11-15,80884.9536387683
2019-11-16,80964.8259368363
2019-11-17,81043.4430114046
2019-11-18,81125.63918717383
2019-11-19,81202.94679725108
2019-11-20,81285.01029893123
2019-11-21,81363.0802085219
2019-11-22,81444.76080084644
2019-11-23,81525.46394283239
2019-11-24,81605.56740669857
2019-11-25,81685.66723221474
2019-11-26,81765.76701811871
2019-11-27,81845.86664190183
2019-11-28,81923.03987432792
2019-11-29,82004.79821316189
2019-11-30,82081.2317047022
2019-12-01,82163.77211994937
2019-12-02,82244.80310603304
2019-12-03,82324.90706274728
2019-12-04,82401.61290710856
2019-12-05,82480.00229701742
2019-12-06,82559.94877529559
2019-12-07,82642.50723163683
2019-12-08,82718.72630690421
2019-12-09,82801.3900680259
2019-12-10,82879.17113603967
2019-12-11,82957.80835511399
2019-12-12,83037.78696464775
2019-12-13,83119.20391751168
2019-12-14,83200.19739624836
2019-12-15,83280.63015742633
2019-12-16,83360.76742577914
2019-12-17,83440.86472671886
2019-12-18,83520.95903167939
2019-12-19,83601.05161964624
2019-12-20,83681.14399918422
2019-12-21,83758.1999066619
2019-12-22,83840.00891813044
2019-12-23,83917.70593111216
2019-12-24,83997.01744050668
2019-12-25,84075.8776878238
2019-12-26,84158.40270562048
2019-12-27,84237.8377062011
2019-12-28,84315.64157700223
2019-12-29,84393.77198943132
2019-12-30,84476.79865783924
2019-12-31,84554.53054074402
