date,count,rain,dust,temp,holiday,user,week
2017-03-22,7577,0.0,54.42105263157895,7.6,0.0,544,2
2017-03-23,7657,0.0,76.44736842105263,9.1,0.0,602,3
2017-03-24,7736,0.0,63.05263157894736,8.7,0.0,623,4
2017-03-25,6677,0.0,68.73684210526315,8.1,0.0,893,5
2017-03-26,6400,0.0,63.868421052631575,7.3,0.0,903,6
2017-03-27,5706,0.4,77.66666666666667,6.1,0.0,347,0
2017-03-28,7121,0.0,86.66666666666669,7.1,0.0,415,1
2017-03-29,8323,0.0,60.66666666666666,8.8,0.0,555,2
2017-03-30,8612,0.0,71.28205128205127,10.6,0.0,615,3
2017-03-31,4579,1.5,52.97435897435897,8.6,0.0,247,4
2017-04-01,7173,1.0,26.743589743589745,9.0,0.0,1005,5
2017-04-02,9254,0.0,49.794871794871796,9.0,0.0,1724,6
2017-04-03,9274,0.0,82.53846153846153,11.4,0.0,787,0
2017-04-04,10155,0.0,78.48717948717949,14.1,0.0,908,1
2017-04-05,1877,37.5,53.0,12.0,0.0,214,2
2017-04-06,6257,3.0,28.69230769230769,10.4,0.0,405,3
2017-04-07,11361,0.0,45.769230769230774,14.5,0.0,1228,4
2017-04-08,10632,0.5,65.15384615384616,13.0,0.0,1721,5
2017-04-09,10909,0.5,42.94871794871795,14.8,0.0,1918,6
2017-04-10,12933,0.0,30.743589743589745,16.5,0.0,1393,0
2017-04-11,11615,0.0,59.74358974358975,15.3,0.0,1026,1
2017-04-12,10244,0.0,66.51282051282051,11.5,0.0,831,2
2017-04-13,10510,0.0,73.92307692307692,12.7,0.0,737,3
2017-04-14,6671,6.0,60.153846153846146,13.0,0.0,363,4
2017-04-15,12422,0.0,71.07692307692308,16.8,0.0,2087,5
2017-04-16,13145,0.0,63.48717948717949,18.7,0.0,2104,6
2017-04-17,7205,5.5,50.230769230769226,14.7,0.0,464,0
2017-04-18,7513,7.5,43.51282051282051,11.7,0.0,422,1
2017-04-19,11360,0.0,86.89743589743591,12.6,0.0,831,2
2017-04-20,10198,0.1,86.46153846153847,12.9,0.0,584,3
2017-04-21,11487,0.0,71.94871794871794,13.1,0.0,921,4
2017-04-22,13132,0.0,65.23076923076923,14.8,0.0,2047,5
2017-04-23,13131,0.0,52.07894736842106,14.9,0.0,2257,6
2017-04-24,12650,0.0,46.07692307692307,15.1,0.0,1070,0
2017-04-25,11825,0.0,62.20512820512821,16.0,0.0,889,1
2017-04-26,12950,0.0,46.82051282051282,15.1,0.0,1061,2
2017-04-27,12424,0.0,48.20512820512821,13.6,0.0,976,3
2017-04-28,12970,0.0,66.82051282051282,14.4,0.0,1174,4
2017-04-29,14312,0.0,66.38461538461539,17.1,0.0,2319,5
2017-04-30,13592,0.0,95.64102564102564,19.3,0.0,2555,6
2017-05-01,14168,0.0,96.25641025641028,20.1,0.0,2201,0
2017-05-02,13490,0.0,103.46153846153848,20.7,0.0,1430,1
2017-05-03,16305,0.0,73.55263157894737,21.5,1.0,2956,2
2017-05-04,15316,0.0,67.25641025641025,21.0,0.0,2036,3
2017-05-05,15488,0.0,58.74358974358975,20.9,1.0,2651,4
2017-05-06,7484,0.0,194.82051282051282,14.9,0.0,967,5
2017-05-07,9528,0.0,94.20512820512822,16.6,0.0,1273,6
2017-05-08,11092,0.0,178.1282051282051,17.9,0.0,811,0
2017-05-09,6778,2.5,128.35897435897436,17.1,1.0,735,1
2017-05-10,12102,2.5,46.87179487179486,16.4,0.0,771,2
2017-05-11,13612,0.0,75.69230769230771,19.3,0.0,989,3
2017-05-12,12841,0.0,77.92307692307692,19.1,0.0,967,4
2017-05-13,8333,6.0,54.230769230769226,16.4,0.0,1216,5
2017-05-14,15272,0.0,60.794871794871796,15.7,0.0,3483,6
2017-05-15,14115,0.0,46.66666666666666,16.0,0.0,1168,0
