date,count,shift1,rain,dust,temp,holiday,user,week,predict
2017-02-28,5513,4919.0,0.0,47.46153846153846,5.6,0.0,431,1,6824.31884765625
2017-03-01,3182,5513.0,5.0,62.10256410256411,5.0,1.0,515,2,3971.4970703125
2017-03-02,4214,3182.0,0.5,36.05128205128205,1.8,0.0,265,3,7765.763671875
2017-03-03,5161,4214.0,0.0,46.97435897435897,3.3,0.0,358,4,7125.74658203125
2017-03-04,6112,5161.0,0.0,57.07692307692307,5.7,0.0,944,5,8214.169921875
2017-03-05,4573,6112.0,0.5,71.1794871794872,5.2,0.0,662,6,4846.2890625
2017-03-06,4201,4573.0,0.0,39.12820512820513,0.1,0.0,219,0,3942.98291015625
2017-03-07,3921,4201.0,0.0,35.794871794871796,-1.3,0.0,205,1,5490.673828125
2017-03-08,4096,3921.0,0.0,46.02564102564103,-0.1,0.0,169,2,4165.01220703125
2017-03-09,4767,4096.0,0.0,49.89743589743589,3.2,0.0,268,3,6289.92236328125
2017-03-10,5776,4767.0,0.0,48.410256410256395,4.8,0.0,365,4,7003.83154296875
2017-03-11,7270,5776.0,0.0,67.17948717948718,7.3,0.0,1147,5,9530.595703125
2017-03-12,5078,7270.0,0.0,93.97435897435898,8.2,0.0,777,6,5555.97802734375
2017-03-13,6277,5078.0,0.0,65.58974358974359,6.9,0.0,431,0,6380.63916015625
2017-03-14,6300,6277.0,0.0,52.35897435897437,5.8,0.0,369,1,7208.08251953125
2017-03-15,6468,6300.0,0.0,45.051282051282044,6.3,0.0,409,2,6957.7265625
2017-03-16,6566,6468.0,0.0,67.17948717948718,6.2,0.0,438,3,7340.26318359375
2017-03-17,5258,6566.0,0.0,79.8974358974359,7.7,0.0,601,4,9102.634765625
2017-03-18,7583,5258.0,0.0,76.8205128205128,9.5,0.0,1205,5,7643.78271484375
2017-03-19,8118,7583.0,0.0,78.8205128205128,10.9,0.0,1512,6,9622.490234375
2017-03-20,6723,8118.0,0.0,102.74358974358972,10.2,0.0,625,0,6448.3212890625
2017-03-21,6735,6723.0,0.0,102.56410256410255,7.4,0.0,638,1,7707.416015625
2017-03-22,7577,6735.0,0.0,54.42105263157895,7.6,0.0,544,2,7540.2509765625
2017-03-23,7657,7577.0,0.0,76.44736842105263,9.1,0.0,602,3,8879.3037109375
2017-03-24,7736,7657.0,0.0,63.05263157894736,8.7,0.0,623,4,9033.005859375
2017-03-25,6677,7736.0,0.0,68.73684210526315,8.1,0.0,893,5,7274.6826171875
2017-03-26,6400,6677.0,0.0,63.868421052631575,7.3,0.0,903,6,7116.9580078125
2017-03-27,5706,6400.0,0.4,77.66666666666667,6.1,0.0,347,0,5838.97314453125
2017-03-28,7121,5706.0,0.0,86.66666666666669,7.1,0.0,415,1,7214.7890625
2017-03-29,8323,7121.0,0.0,60.66666666666666,8.8,0.0,555,2,8798.921875
2017-03-30,8612,8323.0,0.0,71.28205128205127,10.6,0.0,615,3,9617.740234375
2017-03-31,4579,8612.0,1.5,52.97435897435897,8.6,0.0,247,4,6004.9833984375
2017-04-01,7173,4579.0,1.0,26.743589743589745,9.0,0.0,1005,5,8983.4404296875
2017-04-02,9254,7173.0,0.0,49.794871794871796,9.0,0.0,1724,6,11825.029296875
2017-04-03,9274,9254.0,0.0,82.53846153846153,11.4,0.0,787,0,8208.7392578125
