가입일자,사용자코드,연령대코드,성별,가입 수
2020-06-01,회원-내국인,AGE_001,,353
2020-06-01,회원-내국인,AGE_001,M,1
2020-06-01,회원-내국인,AGE_002,,1845
2020-06-01,회원-내국인,AGE_002,M,3
2020-06-01,회원-내국인,AGE_003,,766
2020-06-01,회원-내국인,AGE_003,F,2
2020-06-01,회원-내국인,AGE_004,,453
2020-06-01,회원-내국인,AGE_005,,226
2020-06-01,회원-내국인,AGE_005,F,1
2020-06-01,회원-내국인,AGE_005,M,1
2020-06-01,회원-내국인,AGE_006,,68
2020-06-01,회원-내국인,AGE_007,,11
2020-06-01,회원-내국인,AGE_008,,49
2020-06-02,회원-내국인,AGE_001,,59
2020-06-02,회원-내국인,AGE_001,F,86
2020-06-02,회원-내국인,AGE_001,M,90
2020-06-02,회원-내국인,AGE_002,,229
2020-06-02,회원-내국인,AGE_002,F,383
2020-06-02,회원-내국인,AGE_002,M,363
2020-06-02,회원-내국인,AGE_003,,117
2020-06-02,회원-내국인,AGE_003,F,175
2020-06-02,회원-내국인,AGE_003,M,180
2020-06-02,회원-내국인,AGE_004,,70
2020-06-02,회원-내국인,AGE_004,F,103
2020-06-02,회원-내국인,AGE_004,M,105
2020-06-02,회원-내국인,AGE_005,,34
2020-06-02,회원-내국인,AGE_005,F,53
2020-06-02,회원-내국인,AGE_005,M,63
2020-06-02,회원-내국인,AGE_006,,7
2020-06-02,회원-내국인,AGE_006,F,8
2020-06-02,회원-내국인,AGE_006,M,15
2020-06-02,회원-내국인,AGE_007,,1
2020-06-02,회원-내국인,AGE_007,M,2
2020-06-02,회원-내국인,AGE_008,,26
2020-06-03,회원-내국인,AGE_001,F,184
2020-06-03,회원-내국인,AGE_001,M,176
2020-06-03,회원-내국인,AGE_002,F,808
2020-06-03,회원-내국인,AGE_002,M,751
2020-06-03,회원-내국인,AGE_003,F,349
2020-06-03,회원-내국인,AGE_003,M,346
2020-06-03,회원-내국인,AGE_004,F,200
2020-06-03,회원-내국인,AGE_004,M,237
2020-06-03,회원-내국인,AGE_005,F,103
2020-06-03,회원-내국인,AGE_005,M,135
2020-06-03,회원-내국인,AGE_006,F,18
2020-06-03,회원-내국인,AGE_006,M,42
2020-06-03,회원-내국인,AGE_007,F,1
2020-06-03,회원-내국인,AGE_007,M,9
2020-06-03,회원-내국인,AGE_008,,30
2020-06-03,회원-내국인,AGE_008,F,1
2020-06-04,회원-내국인,AGE_001,F,151
2020-06-04,회원-내국인,AGE_001,M,154
2020-06-04,회원-내국인,AGE_002,F,782
2020-06-04,회원-내국인,AGE_002,M,678
2020-06-04,회원-내국인,AGE_003,F,307
2020-06-04,회원-내국인,AGE_003,M,345
2020-06-04,회원-내국인,AGE_004,F,164
2020-06-04,회원-내국인,AGE_004,M,207
2020-06-04,회원-내국인,AGE_005,F,80
2020-06-04,회원-내국인,AGE_005,M,87
2020-06-04,회원-내국인,AGE_006,F,17
2020-06-04,회원-내국인,AGE_006,M,24
2020-06-04,회원-내국인,AGE_007,F,2
2020-06-04,회원-내국인,AGE_007,M,6
2020-06-04,회원-내국인,AGE_008,,24
2020-06-04,회원-내국인,AGE_008,F,2
2020-06-04,회원-내국인,AGE_008,M,1
2020-06-05,회원-내국인,AGE_001,F,188
2020-06-05,회원-내국인,AGE_001,M,207
2020-06-05,회원-내국인,AGE_002,F,1051
2020-06-05,회원-내국인,AGE_002,M,873
2020-06-05,회원-내국인,AGE_003,F,385
2020-06-05,회원-내국인,AGE_003,M,480
2020-06-05,회원-내국인,AGE_004,F,225
2020-06-05,회원-내국인,AGE_004,M,262
2020-06-05,회원-내국인,AGE_005,F,107
2020-06-05,회원-내국인,AGE_005,M,116
2020-06-05,회원-내국인,AGE_006,F,15
2020-06-05,회원-내국인,AGE_006,M,43
2020-06-05,회원-내국인,AGE_007,M,5
2020-06-05,회원-내국인,AGE_008,,27
2020-06-05,회원-내국인,AGE_008,F,1
2020-06-05,회원-내국인,AGE_008,M,1
2020-06-06,회원-내국인,AGE_001,F,277
2020-06-06,회원-내국인,AGE_001,M,349
2020-06-06,회원-내국인,AGE_002,F,1608
2020-06-06,회원-내국인,AGE_002,M,1442
2020-06-06,회원-내국인,AGE_003,F,670
2020-06-06,회원-내국인,AGE_003,M,763
2020-06-06,회원-내국인,AGE_004,F,418
2020-06-06,회원-내국인,AGE_004,M,497
2020-06-06,회원-내국인,AGE_005,F,200
2020-06-06,회원-내국인,AGE_005,M,208
2020-06-06,회원-내국인,AGE_006,F,27
2020-06-06,회원-내국인,AGE_006,M,47
2020-06-06,회원-내국인,AGE_007,F,3
2020-06-06,회원-내국인,AGE_007,M,6
2020-06-06,회원-내국인,AGE_008,,37
2020-06-06,회원-내국인,AGE_008,M,1
2020-06-07,회원-내국인,AGE_001,F,267
2020-06-07,회원-내국인,AGE_001,M,250
2020-06-07,회원-내국인,AGE_002,F,1432
2020-06-07,회원-내국인,AGE_002,M,1408
2020-06-07,회원-내국인,AGE_003,F,666
2020-06-07,회원-내국인,AGE_003,M,791
2020-06-07,회원-내국인,AGE_004,F,437
2020-06-07,회원-내국인,AGE_004,M,498
2020-06-07,회원-내국인,AGE_005,F,200
2020-06-07,회원-내국인,AGE_005,M,203
2020-06-07,회원-내국인,AGE_006,F,33
2020-06-07,회원-내국인,AGE_006,M,55
2020-06-07,회원-내국인,AGE_007,F,1
2020-06-07,회원-내국인,AGE_007,M,7
2020-06-07,회원-내국인,AGE_008,,29
2020-06-07,회원-내국인,AGE_008,F,1
2020-06-07,회원-내국인,AGE_008,M,4
2020-06-08,회원-내국인,AGE_001,F,159
2020-06-08,회원-내국인,AGE_001,M,176
2020-06-08,회원-내국인,AGE_002,F,813
2020-06-08,회원-내국인,AGE_002,M,775
2020-06-08,회원-내국인,AGE_003,F,321
2020-06-08,회원-내국인,AGE_003,M,449
2020-06-08,회원-내국인,AGE_004,F,173
2020-06-08,회원-내국인,AGE_004,M,210
2020-06-08,회원-내국인,AGE_005,F,97
2020-06-08,회원-내국인,AGE_005,M,105
2020-06-08,회원-내국인,AGE_006,F,18
