가입일자,사용자코드,연령대코드,성별,가입 수
2019-12-10,회원-내국인,AGE_003,F,29
2019-12-10,회원-내국인,AGE_003,M,56
2019-12-10,회원-내국인,AGE_004,F,10
2019-12-10,회원-내국인,AGE_004,M,46
2019-12-10,회원-내국인,AGE_005,F,9
2019-12-10,회원-내국인,AGE_005,M,31
2019-12-10,회원-내국인,AGE_006,M,7
2019-12-10,회원-내국인,AGE_007,M,1
2019-12-11,회원-내국인,AGE_001,F,36
2019-12-11,회원-내국인,AGE_001,M,65
2019-12-11,회원-내국인,AGE_002,F,61
2019-12-11,회원-내국인,AGE_002,M,89
2019-12-11,회원-내국인,AGE_003,F,28
2019-12-11,회원-내국인,AGE_003,M,55
2019-12-11,회원-내국인,AGE_004,F,16
2019-12-11,회원-내국인,AGE_004,M,36
2019-12-11,회원-내국인,AGE_005,F,11
2019-12-11,회원-내국인,AGE_005,M,21
2019-12-11,회원-내국인,AGE_006,M,3
2019-12-11,회원-내국인,AGE_008,M,2
2019-12-12,회원-내국인,AGE_001,F,56
2019-12-12,회원-내국인,AGE_001,M,67
2019-12-12,회원-내국인,AGE_002,F,69
2019-12-12,회원-내국인,AGE_002,M,86
2019-12-12,회원-내국인,AGE_003,F,38
2019-12-12,회원-내국인,AGE_003,M,53
2019-12-12,회원-내국인,AGE_004,F,19
2019-12-12,회원-내국인,AGE_004,M,43
2019-12-12,회원-내국인,AGE_005,F,14
2019-12-12,회원-내국인,AGE_005,M,19
2019-12-12,회원-내국인,AGE_006,M,7
2019-12-12,회원-내국인,AGE_007,M,1
2019-12-13,회원-내국인,AGE_001,F,51
2019-12-13,회원-내국인,AGE_001,M,65
2019-12-13,회원-내국인,AGE_002,F,59
2019-12-13,회원-내국인,AGE_002,M,84
2019-12-13,회원-내국인,AGE_003,F,25
2019-12-13,회원-내국인,AGE_003,M,49
2019-12-13,회원-내국인,AGE_004,F,17
2019-12-13,회원-내국인,AGE_004,M,49
2019-12-13,회원-내국인,AGE_005,F,9
2019-12-13,회원-내국인,AGE_005,M,16
2019-12-13,회원-내국인,AGE_006,F,1
2019-12-13,회원-내국인,AGE_006,M,8
2019-12-13,회원-내국인,AGE_007,M,1
2019-12-14,회원-내국인,AGE_001,F,72
2019-12-14,회원-내국인,AGE_001,M,92
2019-12-14,회원-내국인,AGE_002,F,108
2019-12-14,회원-내국인,AGE_002,M,172
2019-12-14,회원-내국인,AGE_003,F,36
2019-12-14,회원-내국인,AGE_003,M,99
2019-12-14,회원-내국인,AGE_004,F,21
2019-12-14,회원-내국인,AGE_004,M,45
2019-12-14,회원-내국인,AGE_005,F,12
2019-12-14,회원-내국인,AGE_005,M,23
2019-12-14,회원-내국인,AGE_006,F,4
2019-12-14,회원-내국인,AGE_006,M,3
2019-12-14,회원-내국인,AGE_008,M,1
2019-12-15,회원-내국인,AGE_001,F,87
2019-12-15,회원-내국인,AGE_001,M,108
2019-12-15,회원-내국인,AGE_002,F,159
2019-12-15,회원-내국인,AGE_002,M,247
2019-12-15,회원-내국인,AGE_003,F,76
2019-12-15,회원-내국인,AGE_003,M,126
2019-12-15,회원-내국인,AGE_004,F,53
2019-12-15,회원-내국인,AGE_004,M,80
2019-12-15,회원-내국인,AGE_005,F,19
2019-12-15,회원-내국인,AGE_005,M,31
2019-12-15,회원-내국인,AGE_006,F,6
2019-12-15,회원-내국인,AGE_006,M,13
2019-12-15,회원-내국인,AGE_007,F,1
2019-12-15,회원-내국인,AGE_007,M,1
2019-12-16,회원-내국인,AGE_001,F,89
2019-12-16,회원-내국인,AGE_001,M,153
2019-12-16,회원-내국인,AGE_002,F,150
2019-12-16,회원-내국인,AGE_002,M,164
2019-12-16,회원-내국인,AGE_003,F,47
2019-12-16,회원-내국인,AGE_003,M,95
2019-12-16,회원-내국인,AGE_004,F,28
2019-12-16,회원-내국인,AGE_004,M,40
2019-12-16,회원-내국인,AGE_005,F,10
2019-12-16,회원-내국인,AGE_005,M,17
2019-12-16,회원-내국인,AGE_006,F,1
2019-12-16,회원-내국인,AGE_006,M,6
2019-12-16,회원-내국인,AGE_007,F,2
2019-12-16,회원-내국인,AGE_007,M,1
2019-12-17,회원-내국인,AGE_001,F,46
2019-12-17,회원-내국인,AGE_001,M,60
2019-12-17,회원-내국인,AGE_002,F,79
2019-12-17,회원-내국인,AGE_002,M,96
2019-12-17,회원-내국인,AGE_003,F,29
2019-12-17,회원-내국인,AGE_003,M,67
2019-12-17,회원-내국인,AGE_004,F,12
2019-12-17,회원-내국인,AGE_004,M,34
2019-12-17,회원-내국인,AGE_005,F,3
2019-12-17,회원-내국인,AGE_005,M,17
2019-12-17,회원-내국인,AGE_006,F,1
2019-12-17,회원-내국인,AGE_006,M,3
2019-12-17,회원-내국인,AGE_007,M,1
2019-12-18,회원-내국인,AGE_001,F,53
2019-12-18,회원-내국인,AGE_001,M,71
2019-12-18,회원-내국인,AGE_002,F,80
2019-12-18,회원-내국인,AGE_002,M,118
2019-12-18,회원-내국인,AGE_003,F,37
2019-12-18,회원-내국인,AGE_003,M,59
2019-12-18,회원-내국인,AGE_004,F,19
2019-12-18,회원-내국인,AGE_004,M,43
2019-12-18,회원-내국인,AGE_005,F,9
2019-12-18,회원-내국인,AGE_005,M,18
2019-12-18,회원-내국인,AGE_006,M,4
2019-12-18,회원-내국인,AGE_007,F,1
2019-12-18,회원-내국인,AGE_007,M,1
2019-12-18,회원-내국인,AGE_008,F,1
2019-12-19,회원-내국인,AGE_001,F,60
2019-12-19,회원-내국인,AGE_001,M,53
2019-12-19,회원-내국인,AGE_002,F,80
2019-12-19,회원-내국인,AGE_002,M,81
2019-12-19,회원-내국인,AGE_003,F,31
2019-12-19,회원-내국인,AGE_003,M,51
2019-12-19,회원-내국인,AGE_004,F,19
2019-12-19,회원-내국인,AGE_004,M,23
2019-12-19,회원-내국인,AGE_005,F,10
2019-12-19,회원-내국인,AGE_005,M,18
2019-12-19,회원-내국인,AGE_006,F,2
2019-12-19,회원-내국인,AGE_006,M,2
2019-12-20,회원-내국인,AGE_001,F,48
2019-12-20,회원-내국인,AGE_001,M,67
2019-12-20,회원-내국인,AGE_002,F,66
2019-12-20,회원-내국인,AGE_002,M,91
2019-12-20,회원-내국인,AGE_003,F,24
2019-12-20,회원-내국인,AGE_003,M,57
2019-12-20,회원-내국인,AGE_004,F,16
2019-12-20,회원-내국인,AGE_004,M,32
2019-12-20,회원-내국인,AGE_005,F,5
2019-12-20,회원-내국인,AGE_005,M,24
2019-12-20,회원-내국인,AGE_006,F,1
2019-12-20,회원-내국인,AGE_006,M,5
2019-12-21,회원-내국인,AGE_001,F,37
2019-12-21,회원-내국인,AGE_001,M,66
2019-12-21,회원-내국인,AGE_002,F,62
2019-12-21,회원-내국인,AGE_002,M,103
2019-12-21,회원-내국인,AGE_003,F,20
2019-12-21,회원-내국인,AGE_003,M,51
2019-12-21,회원-내국인,AGE_004,F,20
2019-12-21,회원-내국인,AGE_004,M,28
2019-12-21,회원-내국인,AGE_005,F,3
2019-12-21,회원-내국인,AGE_005,M,22
2019-12-21,회원-내국인,AGE_006,F,3
