date,count,shift1,rain,dust,temp,holiday,user,week,predict
2017-02-27,4919,3802.0,0.0,43.48717948717949,3.7,0.0,389,0,7574.714163538683
2017-02-28,5513,4919.0,0.0,47.46153846153846,5.6,0.0,431,1,6644.221450199199
2017-03-01,3182,5513.0,5.0,62.10256410256411,5.0,1.0,515,2,2355.3718497444
2017-03-02,4214,3182.0,0.5,36.05128205128205,1.8,0.0,265,3,4805.886868345713
2017-03-03,5161,4214.0,0.0,46.97435897435897,3.3,0.0,358,4,5526.9991926609255
2017-03-04,6112,5161.0,0.0,57.07692307692307,5.7,0.0,944,5,7155.871302094453
2017-03-05,4573,6112.0,0.5,71.1794871794872,5.2,0.0,662,6,5286.965769690484
2017-03-06,4201,4573.0,0.0,39.12820512820513,0.1,0.0,219,0,7631.851123890936
2017-03-07,3921,4201.0,0.0,35.794871794871796,-1.3,0.0,205,1,5374.174438701526
2017-03-08,4096,3921.0,0.0,46.02564102564103,-0.1,0.0,169,2,4671.87318431677
2017-03-09,4767,4096.0,0.0,49.89743589743589,3.2,0.0,268,3,5352.567871366745
2017-03-10,5776,4767.0,0.0,48.410256410256395,4.8,0.0,365,4,5888.2315372022695
2017-03-11,7270,5776.0,0.0,67.17948717948718,7.3,0.0,1147,5,7872.793338701443
2017-03-12,5078,7270.0,0.0,93.97435897435898,8.2,0.0,777,6,5567.998241484685
2017-03-13,6277,5078.0,0.0,65.58974358974359,6.9,0.0,431,0,7835.050087288057
2017-03-14,6300,6277.0,0.0,52.35897435897437,5.8,0.0,369,1,7336.8813545296025
2017-03-15,6468,6300.0,0.0,45.051282051282044,6.3,0.0,409,2,7693.368863865795
2017-03-16,6566,6468.0,0.0,67.17948717948718,6.2,0.0,438,3,7382.126803660763
2017-03-17,5258,6566.0,0.0,79.8974358974359,7.7,0.0,601,4,7115.97349065673
2017-03-18,7583,5258.0,0.0,76.8205128205128,9.5,0.0,1205,5,7069.7916014819
2017-03-19,8118,7583.0,0.0,78.8205128205128,10.9,0.0,1512,6,8339.019235107195
2017-03-20,6723,8118.0,0.0,102.74358974358972,10.2,0.0,625,0,9482.550920762895
2017-03-21,6735,6723.0,0.0,102.56410256410255,7.4,0.0,638,1,7104.229154392976
2017-03-22,7577,6735.0,0.0,54.42105263157895,7.6,0.0,544,2,8213.928142360674
2017-03-23,7657,7577.0,0.0,76.44736842105263,9.1,0.0,602,3,8354.359494920096
2017-03-24,7736,7657.0,0.0,63.05263157894736,8.7,0.0,623,4,8448.229468656635
2017-03-25,6677,7736.0,0.0,68.73684210526315,8.1,0.0,893,5,8147.753467678379
2017-03-26,6400,6677.0,0.0,63.868421052631575,7.3,0.0,903,6,6598.622355531001
2017-03-27,5706,6400.0,0.4,77.66666666666667,6.1,0.0,347,0,8183.100611929534
2017-03-28,7121,5706.0,0.0,86.66666666666669,7.1,0.0,415,1,5820.021485203101
2017-03-29,8323,7121.0,0.0,60.66666666666666,8.8,0.0,555,2,8257.07759155251
2017-03-30,8612,8323.0,0.0,71.28205128205127,10.6,0.0,615,3,9027.835995916841
2017-03-31,4579,8612.0,1.5,52.97435897435897,8.6,0.0,247,4,7499.673330625615
2017-04-01,7173,4579.0,1.0,26.743589743589745,9.0,0.0,1005,5,7912.070603402473
2017-04-02,9254,7173.0,0.0,49.794871794871796,9.0,0.0,1724,6,10433.22360586992
2017-04-03,9274,9254.0,0.0,82.53846153846153,11.4,0.0,787,0,11610.025864281875
2017-04-04,10155,9274.0,0.0,78.48717948717949,14.1,0.0,908,1,10127.950846004105
2017-04-05,1877,10155.0,37.5,53.0,12.0,0.0,214,2,-838.8101002124566
2017-04-06,6257,1877.0,3.0,28.69230769230769,10.4,0.0,405,3,4464.073168438193
2017-04-07,11361,6257.0,0.0,45.769230769230774,14.5,0.0,1228,4,10407.192537388459
2017-04-08,10632,11361.0,0.5,65.15384615384616,13.0,0.0,1721,5,13224.20130957544
2017-04-09,10909,10632.0,0.5,42.94871794871795,14.8,0.0,1918,6,13028.32594221916
2017-04-10,12933,10909.0,0.0,30.743589743589745,16.5,0.0,1393,0,18824.26443930996
2017-04-11,11615,12933.0,0.0,59.74358974358975,15.3,0.0,1026,1,14663.751699655117
2017-04-12,10244,11615.0,0.0,66.51282051282051,11.5,0.0,831,2,12606.658138605193
2017-04-13,10510,10244.0,0.0,73.92307692307692,12.7,0.0,737,3,10690.32595510585
2017-04-14,6671,10510.0,6.0,60.153846153846146,13.0,0.0,363,4,7549.792951248619
2017-04-15,12422,6671.0,0.0,71.07692307692308,16.8,0.0,2087,5,10533.452420920365
2017-04-16,13145,12422.0,0.0,63.48717948717949,18.7,0.0,2104,6,13154.431161043201
2017-04-17,7205,13145.0,5.5,50.23076923076921,14.7,0.0,464,0,13522.565063095368
2017-04-18,7513,7205.0,7.5,43.51282051282051,11.7,0.0,422,1,6437.519774482407
2017-04-19,11360,7513.0,0.0,86.89743589743591,12.6,0.0,831,2,8104.858794326362
2017-04-20,10198,11360.0,0.1,86.46153846153847,12.9,0.0,584,3,10447.917697032119
2017-04-21,11487,10198.0,0.0,71.94871794871794,13.1,0.0,921,4,10709.434783257833
2017-04-22,13132,11487.0,0.0,65.23076923076923,14.8,0.0,2047,5,14382.506875942829
